userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,4.32,4.46,4.83,5.0,4.25,4.33,2.52,4.59,2.52,2.52,3.57,2.52,5.0,2.52,2.52,5.0,2.52,2.52
2,3.95,1.3,1.3,1.3,4.2,3.38,5.0,3.92,1.3,1.3,1.3,1.3,1.3,1.3,3.0,1.3,1.3,1.3
3,3.57,1.9,0.5,0.5,1.4,1.3,1.3,1.0,5.0,1.3,4.5,1.3,1.3,1.3,5.0,1.3,1.3,1.3
4,3.32,3.47,4.25,4.0,3.51,4.19,4.0,3.57,2.0,5.0,2.65,2.65,3.33,2.65,2.65,3.0,2.65,4.0
5,3.11,3.8,5.0,3.67,3.56,4.2,1.7,3.33,1.7,1.7,1.7,1.7,1.7,1.7,1.7,4.0,1.7,1.7
6,3.61,3.92,4.0,3.44,3.34,3.5,2.52,3.41,3.0,2.52,3.0,2.52,4.33,2.52,3.0,3.5,2.52,3.33
7,3.26,3.72,3.0,1.5,2.98,3.54,1.41,3.06,1.41,1.41,2.75,1.41,1.41,1.41,1.5,1.41,1.41,1.41
8,3.33,3.83,1.66,4.0,3.29,4.67,1.66,4.25,1.66,1.66,1.66,1.66,3.5,1.66,1.66,3.0,1.66,1.66
9,3.12,3.86,1.22,1.22,3.55,3.4,1.22,3.2,1.22,1.22,1.75,3.0,1.22,1.22,1.22,1.22,1.22,1.22
10,3.5,3.43,4.0,0.5,3.27,2.5,1.32,3.15,3.0,1.32,1.32,1.32,1.32,1.32,0.5,1.32,1.32,1.32
11,3.54,4.0,1.42,1.42,4.25,4.33,1.42,4.5,1.42,1.42,1.42,1.42,1.42,1.42,1.42,5.0,1.42,1.42
12,4.0,3.0,0.89,0.89,4.38,0.89,0.89,4.58,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
13,4.2,3.0,1.25,1.25,3.12,1.25,1.25,3.25,1.25,1.25,4.0,1.25,5.0,1.25,1.25,1.25,1.25,1.25
14,3.33,3.5,1.75,3.0,2.83,3.5,1.75,3.77,1.75,1.75,1.75,1.75,4.5,1.75,1.75,3.0,1.75,4.0
15,3.2,3.52,2.67,1.0,3.38,4.43,2.39,3.95,2.39,2.39,4.0,2.39,2.83,4.5,4.5,5.0,2.39,2.39
16,3.52,3.94,3.88,2.6,3.62,3.73,4.0,3.8,5.0,4.0,4.0,2.6,3.88,2.6,2.6,3.5,2.6,2.6
17,4.23,4.31,4.0,2.06,4.21,4.25,2.06,4.1,2.06,2.06,4.0,2.06,4.0,2.06,2.06,2.06,2.06,4.0
18,3.59,3.68,3.78,2.88,3.58,4.1,3.94,3.98,4.0,4.25,3.5,2.94,4.08,2.94,3.75,3.88,2.94,2.94
19,2.73,2.87,3.11,2.51,2.55,2.83,2.18,2.43,2.25,3.5,2.12,2.18,3.29,5.0,2.0,2.07,2.18,2.18
20,2.76,3.72,4.34,3.98,3.65,2.93,3.5,3.65,2.2,2.2,3.25,4.25,3.5,2.2,2.2,2.2,2.2,2.2
21,3.46,3.67,2.78,2.36,3.04,2.92,1.73,2.64,1.73,1.73,0.83,1.73,3.5,1.5,3.5,1.0,1.73,1.73
22,2.78,2.32,2.5,1.09,2.16,2.77,2.38,2.9,1.09,1.09,1.09,1.09,1.75,1.09,1.09,1.09,1.09,1.09
23,3.54,3.56,4.17,2.34,3.44,3.75,3.25,3.63,4.0,4.5,4.5,2.34,3.88,2.34,2.34,2.34,2.34,2.34
24,3.64,3.6,1.46,1.46,3.59,4.38,1.46,3.54,1.46,1.46,1.46,1.46,4.0,1.46,1.46,3.5,1.46,1.46
25,4.83,4.8,1.31,1.31,1.31,5.0,1.31,4.88,1.31,1.31,1.31,1.31,1.31,1.31,4.0,1.31,1.31,1.31
26,3.0,3.0,1.54,3.0,3.33,4.0,1.54,3.33,1.54,1.54,1.54,1.54,4.0,1.54,1.54,4.0,1.54,1.54
27,3.64,3.44,3.7,2.93,3.43,2.01,2.01,4.07,2.01,4.0,2.01,5.0,2.01,2.01,2.0,2.01,2.01,4.0
28,3.06,3.06,3.0,2.47,2.93,2.92,4.0,3.03,3.25,2.47,2.8,2.47,3.4,2.47,2.5,3.0,4.0,3.5
29,4.02,4.09,2.18,5.0,4.0,4.27,4.25,4.25,2.18,2.18,2.18,2.18,4.33,2.18,2.18,2.18,2.18,5.0
30,4.72,4.8,4.0,1.58,1.58,5.0,1.58,5.0,1.58,1.58,1.58,1.58,1.58,1.58,5.0,1.58,1.58,1.58
31,4.33,3.6,4.5,3.33,3.79,1.78,5.0,3.56,1.78,1.78,4.0,1.78,1.78,1.78,1.78,1.78,1.78,1.78
32,3.57,3.0,2.09,4.0,3.73,4.29,4.0,3.95,2.09,2.09,2.09,2.09,4.0,2.09,3.0,4.0,2.09,2.09
33,4.0,3.86,3.5,3.0,3.84,3.92,1.91,3.73,1.91,1.91,1.91,1.91,3.0,2.0,1.91,3.5,1.91,1.91
34,3.74,3.0,3.0,2.0,2.94,4.0,2.0,2.92,1.71,1.71,2.75,1.71,4.5,1.71,1.71,1.71,1.71,1.71
35,4.0,4.5,3.0,1.36,4.0,5.0,1.36,4.0,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
36,2.64,2.5,1.23,2.0,2.46,3.0,1.23,2.55,1.23,1.23,1.23,1.23,3.5,1.23,1.23,3.5,1.23,1.23
37,3.71,4.0,1.41,4.0,4.75,4.5,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,4.5,1.41,1.41
38,3.05,3.29,3.67,3.0,3.3,3.75,5.0,2.88,1.83,1.83,1.83,1.83,1.83,1.83,1.83,5.0,1.83,1.83
39,4.25,3.31,3.07,3.5,4.67,4.6,2.16,4.14,2.16,2.16,3.8,2.16,3.0,2.16,2.16,4.5,2.16,2.16
40,3.52,3.69,2.75,4.33,3.7,4.5,1.82,4.24,1.82,1.82,1.82,1.82,1.82,1.82,1.82,3.0,1.82,3.0
41,2.53,3.19,3.92,3.0,3.49,3.5,1.5,3.37,3.0,2.11,2.75,2.11,3.75,2.11,2.11,2.11,2.11,4.0
42,3.4,3.67,4.5,2.86,3.46,4.32,4.0,3.88,3.0,2.99,2.67,2.99,3.5,4.0,3.0,3.5,2.99,4.0
43,4.32,4.81,5.0,4.78,4.5,4.33,2.57,4.43,2.57,2.57,5.0,2.57,4.0,2.57,2.57,5.0,2.57,2.57
44,3.45,2.75,1.1,1.1,3.38,4.0,1.1,3.25,1.1,1.1,3.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1
45,4.01,3.9,4.33,3.27,3.61,4.47,4.0,4.16,2.95,2.95,4.25,5.0,4.5,2.95,4.0,3.67,2.95,2.95
46,3.89,4.33,5.0,1.89,3.5,4.5,1.89,3.71,1.89,1.89,1.89,1.89,4.0,1.89,1.89,5.0,1.89,1.89
47,2.81,2.86,1.73,3.0,2.5,3.63,3.33,3.23,1.73,1.73,2.25,1.73,3.0,1.73,4.5,1.73,1.73,1.73
48,4.02,4.5,4.25,1.13,3.5,1.13,1.13,4.12,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13
49,4.36,4.17,4.0,4.5,4.0,4.0,2.33,4.5,2.33,2.33,4.0,2.33,4.0,2.33,4.5,2.33,2.33,2.33
50,2.45,2.56,2.77,2.0,2.86,3.3,3.14,3.17,3.33,2.01,2.12,2.01,3.0,2.01,3.0,2.01,2.01,2.5
51,3.48,3.95,2.95,3.28,3.95,4.17,2.37,4.01,2.37,3.5,3.58,2.37,3.75,2.37,3.0,2.37,2.37,3.0
52,4.53,4.62,4.0,2.0,4.26,4.38,4.75,4.42,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0
53,5.0,1.39,1.39,1.39,5.0,1.39,1.39,5.0,1.39,1.39,5.0,1.39,1.39,1.39,5.0,1.39,1.39,1.39
54,2.86,3.0,3.0,2.5,3.12,3.67,1.51,3.0,1.51,1.51,1.51,1.51,3.0,1.51,1.51,3.0,1.51,1.51
55,2.9,0.5,0.69,0.69,2.75,4.75,0.69,1.5,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
56,3.58,4.33,1.95,3.0,4.22,4.5,1.95,3.5,1.95,1.95,3.0,1.95,5.0,1.95,1.95,4.0,1.95,1.95
57,3.21,3.53,3.88,2.44,3.43,3.7,4.0,3.65,4.0,5.0,2.0,3.0,4.33,3.2,3.0,3.5,3.2,5.0
58,3.81,4.0,4.33,5.0,3.71,4.0,2.22,4.09,2.22,2.22,2.0,2.22,5.0,2.22,2.22,4.0,2.22,2.22
59,4.0,3.8,5.0,5.0,4.36,4.67,4.5,4.68,3.11,5.0,5.0,3.11,5.0,3.11,3.11,5.0,3.11,3.11
60,4.0,3.5,3.5,1.2,3.0,3.75,1.2,3.88,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
61,3.86,3.67,1.59,1.59,3.88,4.28,1.59,4.12,1.59,1.59,4.25,1.59,4.5,1.59,1.59,1.59,1.59,1.59
62,3.99,4.01,3.5,4.17,4.08,4.56,2.7,4.2,2.5,2.7,4.1,2.7,4.25,2.7,4.2,2.7,2.7,5.0
63,3.58,3.56,4.23,3.0,3.65,3.86,3.83,3.66,3.0,4.0,2.25,2.34,3.5,2.34,2.34,2.34,2.34,2.34
64,3.65,3.85,3.75,3.82,3.66,4.1,4.1,3.91,3.25,2.56,3.61,2.56,4.2,2.56,0.5,3.62,2.56,2.56
65,3.97,3.5,1.56,1.56,3.67,4.38,1.56,4.11,1.56,1.56,1.56,1.56,4.0,1.56,4.5,1.56,1.56,1.56
66,3.84,4.17,4.2,4.1,4.03,4.18,2.61,4.21,3.5,2.61,2.7,2.61,4.5,2.61,2.61,3.0,2.61,4.62
67,4.12,3.5,1.1,1.1,4.5,3.75,1.1,4.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
68,3.34,3.3,3.23,2.43,3.19,3.25,3.78,3.15,2.38,2.75,2.69,2.0,3.25,3.25,3.38,3.43,2.75,3.5
69,4.44,4.25,1.65,1.65,4.8,4.4,1.65,4.4,1.65,1.65,3.33,1.65,1.65,1.65,1.65,4.0,1.65,1.65
70,3.75,4.25,1.68,4.83,4.16,4.36,4.5,4.46,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
71,3.86,4.0,1.04,3.67,3.25,1.0,1.04,3.0,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
72,4.15,4.0,1.87,1.87,3.86,4.58,1.87,4.07,1.87,1.87,4.0,1.87,4.5,1.87,1.87,4.5,1.87,1.87
73,4.13,3.64,2.93,3.5,3.4,4.83,1.91,3.67,1.91,1.91,1.91,1.91,3.75,1.91,4.5,1.91,1.91,1.91
74,4.07,4.08,2.41,2.41,4.33,4.3,5.0,4.28,2.41,5.0,3.75,2.41,4.5,2.41,2.41,2.41,2.41,4.0
75,3.21,4.0,5.0,1.68,2.75,2.67,1.68,2.87,2.5,1.68,4.25,1.68,3.0,1.68,1.68,1.68,1.68,1.68
76,3.16,2.04,0.62,2.0,3.15,3.83,1.43,2.96,1.43,1.43,4.0,1.43,4.0,1.43,1.43,1.43,1.43,1.43
77,4.42,5.0,1.23,1.23,2.75,2.0,1.23,1.5,1.23,1.23,1.23,1.23,2.5,1.23,4.0,1.23,1.23,1.23
78,3.31,3.4,0.5,3.0,3.08,3.33,1.37,2.0,1.37,1.37,2.5,1.37,3.5,1.37,1.37,1.37,1.37,1.37
79,4.2,4.0,1.65,1.65,3.8,5.0,4.8,3.89,1.65,1.65,1.65,1.65,1.65,1.65,1.65,4.0,1.65,1.65
80,4.36,3.88,2.28,4.0,3.67,4.37,2.28,4.17,4.0,2.28,4.05,2.28,4.38,2.28,4.25,2.28,2.28,2.28
81,2.77,2.4,1.18,1.18,2.0,3.0,1.18,3.0,1.18,1.18,1.18,1.18,4.0,1.18,1.18,4.0,1.18,1.18
82,3.55,2.86,3.5,2.9,3.41,3.0,3.0,3.11,1.81,1.81,3.67,1.81,3.5,1.81,1.81,1.81,1.81,1.81
83,3.0,3.22,4.38,1.5,3.73,3.28,2.0,3.62,2.5,1.89,2.83,1.89,4.0,1.89,1.89,1.89,1.89,1.89
84,3.56,3.7,3.0,3.36,3.52,3.88,3.75,3.9,2.44,2.44,3.25,4.5,3.5,2.44,2.44,4.0,2.44,2.44
85,1.0,5.0,1.14,5.0,3.8,2.0,1.14,3.76,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
86,3.85,3.79,4.2,4.0,3.83,4.5,2.25,4.11,2.25,2.25,4.0,2.25,4.5,2.25,2.25,3.75,2.25,2.25
87,3.0,3.9,5.0,4.0,4.33,1.34,1.34,3.88,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
88,4.24,4.75,1.65,0.5,3.56,4.5,1.65,4.11,1.65,1.65,4.0,1.65,4.0,1.65,1.65,1.65,1.65,1.65
89,3.38,3.51,4.31,3.61,3.34,3.83,4.5,3.18,2.21,2.21,4.42,2.67,2.21,2.21,2.21,3.0,2.21,2.21
90,4.0,3.0,2.19,4.0,4.1,4.0,4.25,4.11,2.19,2.19,4.0,2.19,4.0,4.0,2.19,2.19,2.19,2.19
91,3.61,3.49,3.73,2.72,2.91,3.63,3.5,3.27,4.1,2.77,3.64,2.0,3.8,2.5,3.0,4.0,2.77,2.77
92,3.5,4.0,4.5,4.0,4.38,1.55,1.55,3.67,1.55,1.55,3.83,1.55,1.55,1.55,1.55,1.55,1.55,1.55
93,4.33,4.09,1.72,4.67,4.22,4.67,1.72,5.0,1.72,1.72,1.72,1.72,1.72,1.72,4.0,1.72,1.72,1.72
94,3.05,3.75,1.48,3.33,2.46,4.0,1.48,2.57,1.48,1.48,1.48,1.48,3.5,1.48,1.48,4.0,1.48,1.48
95,4.18,4.23,5.0,4.25,3.75,4.17,4.5,4.09,2.54,4.0,3.5,2.54,4.0,2.54,2.54,2.54,2.54,2.54
96,3.86,4.43,1.81,4.5,3.91,4.6,1.81,3.29,1.81,1.81,5.0,1.81,1.81,3.0,1.81,1.81,1.81,1.81
97,4.18,4.67,1.4,4.0,3.67,5.0,1.4,3.75,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
98,3.62,3.82,3.75,2.46,4.03,4.17,2.46,4.17,2.5,2.46,4.25,2.46,4.5,2.46,5.0,4.5,2.46,2.46
99,3.81,5.0,1.76,1.76,3.62,4.0,1.76,4.17,1.76,1.76,2.0,1.76,5.0,1.76,1.76,1.76,1.76,4.0
100,3.98,4.07,3.0,4.0,3.96,4.08,1.83,3.93,1.83,1.83,2.0,4.0,1.83,1.83,1.83,1.83,1.83,1.83
101,3.33,3.33,4.0,2.04,3.47,4.0,2.04,3.79,4.0,2.04,3.5,2.04,4.0,2.04,2.04,3.33,2.04,2.04
102,3.12,3.25,1.6,4.0,3.83,4.0,1.6,3.17,1.6,1.6,1.6,1.6,5.0,1.6,1.6,2.5,1.6,1.6
103,3.67,3.58,3.69,3.86,4.04,4.65,3.0,4.24,3.25,2.99,3.17,4.0,5.0,3.5,4.25,2.99,2.99,2.99
104,3.12,3.71,3.91,3.31,3.61,2.67,1.67,3.57,1.67,1.67,0.5,3.33,2.25,1.67,1.67,1.67,1.67,1.67
105,3.89,4.0,4.43,3.5,4.12,4.35,4.62,4.13,4.0,4.5,4.0,3.44,4.21,3.5,4.25,4.5,3.44,3.44
106,4.29,4.55,1.32,1.32,5.0,5.0,1.32,5.0,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
107,3.64,4.14,1.29,3.0,3.86,4.5,1.29,4.17,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
108,3.6,4.17,3.0,5.0,4.08,4.0,2.03,4.18,2.03,2.03,2.0,2.03,4.0,2.5,2.03,2.03,2.03,2.03
109,3.18,2.9,3.0,3.0,3.08,3.89,3.0,3.41,1.96,1.96,1.96,1.96,3.5,1.96,1.96,3.25,1.96,3.0
110,3.3,3.5,1.7,1.0,4.14,3.88,5.0,4.05,1.7,1.7,1.5,1.7,4.25,1.7,1.7,1.7,1.7,1.7
111,3.44,3.31,3.07,3.68,3.38,3.27,4.05,3.23,1.5,2.15,0.83,2.15,2.0,2.15,3.0,4.0,2.15,2.15
112,4.11,3.62,3.5,1.66,2.41,3.8,1.66,2.89,1.66,1.66,1.66,1.66,4.5,1.66,5.0,1.66,1.66,1.66
113,3.12,4.67,4.0,4.5,3.52,4.09,2.58,3.71,4.0,4.0,3.0,2.58,3.33,1.0,2.58,3.5,2.58,2.58
114,3.25,3.35,1.01,1.01,4.12,3.5,1.01,4.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
115,3.75,4.0,3.4,3.5,3.76,4.33,2.7,3.86,2.5,2.7,3.5,2.7,5.0,2.7,3.0,4.0,2.7,4.0
116,3.77,3.08,3.25,3.5,3.36,2.8,2.28,3.25,4.0,2.28,2.5,5.0,3.5,2.28,2.28,3.0,2.28,2.28
117,3.11,3.31,3.8,3.33,3.35,3.8,2.14,3.4,2.14,2.14,2.14,4.0,3.5,2.14,3.0,4.0,2.14,2.14
118,3.5,4.0,1.47,1.47,3.8,4.5,1.47,3.67,1.47,1.47,3.0,1.47,1.47,1.47,1.47,4.0,1.47,1.47
119,4.14,4.17,4.21,4.0,4.09,4.4,4.0,4.3,4.0,3.24,3.5,3.24,4.5,3.24,4.5,4.5,3.24,4.0
120,3.57,3.5,3.0,2.0,3.25,5.0,1.52,4.0,1.52,1.52,1.52,1.52,3.0,1.52,1.52,1.52,1.52,1.52
121,3.25,3.25,3.0,1.62,3.24,4.25,3.0,3.23,1.62,1.62,1.62,1.62,3.0,1.62,1.62,3.0,1.62,1.62
122,4.4,4.59,4.62,4.67,4.6,4.75,4.5,4.69,5.0,3.58,4.42,3.58,4.4,3.58,4.75,4.0,3.58,5.0
123,3.94,3.88,1.6,1.6,4.0,4.18,1.6,4.05,1.6,1.6,1.6,1.6,4.5,1.6,4.25,1.6,1.6,1.6
124,3.67,4.17,4.5,1.72,3.88,4.31,1.72,4.41,1.72,1.72,1.5,1.72,4.5,1.72,1.72,1.72,1.72,1.72
125,3.71,3.62,4.19,3.17,3.98,3.78,2.5,4.2,3.5,3.08,3.69,3.08,4.0,3.75,3.79,3.5,3.08,4.0
126,3.31,3.5,4.0,2.5,2.6,4.0,1.81,2.75,1.81,1.81,1.81,1.81,5.0,1.81,1.81,5.0,1.81,1.81
127,4.0,0.5,1.11,2.0,3.33,1.11,1.11,3.12,1.11,5.0,1.11,1.11,2.0,1.11,1.11,1.11,1.11,1.11
128,4.3,4.0,1.46,1.46,4.67,4.25,1.46,4.12,1.46,1.46,1.46,1.46,5.0,1.46,1.46,1.46,1.46,1.46
129,4.01,3.88,4.25,4.0,3.82,4.5,1.91,3.59,1.91,1.91,3.0,1.91,3.25,1.91,1.91,1.91,1.91,1.91
130,3.45,3.17,2.0,4.0,3.75,5.0,1.41,4.0,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
131,3.26,3.43,3.5,1.76,3.64,3.77,1.76,3.27,1.76,1.76,3.25,1.76,4.0,1.76,1.76,3.5,1.76,1.76
132,2.92,2.84,3.04,2.88,2.96,3.25,3.0,3.3,3.25,2.22,2.5,3.5,3.6,3.0,2.22,2.22,2.22,2.22
133,2.64,2.67,1.28,1.28,3.4,3.25,1.28,3.0,1.28,1.28,1.28,1.28,4.0,1.28,1.28,4.0,1.28,1.28
134,3.47,3.4,4.0,1.49,3.33,5.0,1.49,3.67,1.49,1.49,1.49,1.49,4.0,1.49,1.49,1.49,1.49,1.49
135,3.42,3.68,4.33,3.83,3.65,4.13,4.5,3.69,5.0,2.68,3.83,2.68,4.75,2.68,2.68,3.33,2.68,2.68
136,3.15,3.0,2.33,2.67,3.31,4.33,2.3,3.94,5.0,2.3,2.67,2.3,5.0,2.3,2.3,4.0,2.3,2.0
137,3.73,4.08,3.0,4.0,3.94,3.96,4.5,4.14,2.44,4.5,3.8,2.44,4.25,2.44,2.44,2.44,2.44,2.44
138,3.75,4.33,4.5,1.22,3.75,1.0,1.22,4.17,1.22,1.22,1.22,1.22,1.22,1.22,1.22,0.5,1.22,1.22
139,2.22,2.56,2.83,1.29,1.63,2.33,1.29,1.71,1.29,1.29,2.0,1.29,0.5,2.5,1.29,2.0,1.29,3.0
140,3.47,3.58,2.5,3.52,3.46,3.52,3.5,3.57,2.74,2.74,4.0,5.0,3.0,3.17,2.74,3.36,2.74,3.69
141,3.49,3.83,3.0,2.5,3.45,3.25,1.95,4.17,1.95,1.95,3.5,1.95,3.0,1.95,5.0,1.95,1.95,1.95
142,3.31,4.2,4.0,4.0,4.2,4.67,1.99,3.86,1.99,1.99,1.99,1.99,4.0,1.99,1.99,3.5,1.99,1.99
143,2.17,3.67,4.5,3.67,3.43,1.15,1.15,3.2,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
144,3.42,3.98,4.0,3.38,3.4,4.08,3.5,3.79,2.45,2.45,3.0,4.5,4.5,2.45,2.45,2.45,2.45,2.5
145,2.88,3.67,4.0,1.17,3.0,4.0,1.17,3.5,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
146,2.1,3.5,3.5,3.17,3.14,3.38,1.8,3.58,1.8,1.8,3.0,1.8,5.0,1.8,2.0,1.8,1.8,1.8
147,3.0,5.0,3.0,1.32,3.22,4.5,1.32,5.0,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
148,3.56,3.67,4.1,1.08,3.75,1.08,1.08,4.3,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
149,2.77,1.5,4.0,1.75,3.67,3.0,1.59,4.0,1.59,1.59,4.0,1.59,4.0,1.59,1.59,1.59,1.59,1.59
150,3.6,1.23,1.23,3.0,3.5,3.5,1.23,3.5,1.23,1.23,1.23,1.23,5.0,1.23,1.23,1.23,1.23,1.23
151,3.5,3.67,1.33,3.67,3.62,1.33,1.33,3.0,1.33,1.33,3.5,1.33,1.33,1.33,3.0,1.33,1.33,1.33
152,3.59,4.0,1.61,1.61,3.91,4.23,4.5,4.25,1.61,1.61,1.61,1.61,4.5,1.61,1.61,1.61,1.61,1.61
